setor,centroCusto,organizacaoId
317,1510106,124
259,1510803,124
351,1720612,133
347,1720607,131
348,1720617,342
350,1720622,135
349,1720627,136
306,1510105,124
258,1510804,124
257,1510802,124
206,1520201,124
179,1720104,102
210,1520301,124
207,1520203,124
208,1520202,124
333,1720626,136
334,1720611,133
331,1720608,131
332,1720616,342
335,1720621,135
187,1520204,124
406,1720617,342
399,1720617,342
405,1720617,342
398,1720617,342
402,1720617,342
401,1720617,342
400,1720617,342
408,1720712,134
409,1720712,134
381,1720612,133
389,1720607,131
366,1720622,135
377,1720627,136
420,1420502,102
382,1720612,133
390,1720607,131
367,1720622,135
378,1720627,136
421,1420502,102
383,1720612,133
391,1720607,131
368,1720622,135
379,1720627,136
384,1720612,133
392,1720607,131
369,1720622,135
380,1720627,136
393,1720607,131
370,1720622,135
394,1720607,131
243,1720102,102
285,1520305,124
189,1530101,124
178,1510101,124
181,1520101,124
222,1520403,124
221,1520402,124
229,1720707,322
227,1720708,322
230,1720707,322
361,1720612,133
357,1720607,131
358,1720617,342
360,1720622,135
359,1720627,136
247,1520104,124
282,1320509,124
223,1520404,124
256,1510901,124
185,1320703,124
278,1320703,124
209,1320703,124
322,1320703,138
239,1510602,124
417,1720801,102
415,1720801,102
425,1720801,102
372,1720801,102
236,1510201,124
183,1520103,124
250,1510401,124
321,1510805,124
231,1530301,124
224,1520405,124
261,1510903,124
286,1520306,124
246,1320505,124
235,1720102,124
416,1720802,102
424,1720802,102
422,1720802,102
423,1720802,102
277,1510309,124
272,1720103,102
254,1510601,124
419,1420502,102
212,1520302,124
318,1510301,124
301,1720706,322
237,1510302,124
211,1510308,124
341,1720612,133
337,1720607,131
339,1720617,342
343,1720622,135
345,1720627,136
218,1520401,124
184,1520102,124
248,1510104,124
260,1510902,124
295,1120406,124
242,1120405,124
190,1510305,124
371,1720622,135
385,1720612,133
388,1720607,131
404,1720617,342
362,1720622,135
375,1720627,136
386,1720612,133
387,1720607,131
403,1720617,342
364,1720622,135
376,1720627,136
373,1720627,136
365,1720622,135
374,1720627,136
262,1510501,124
249,1510310,124
238,1510306,124
241,1510603,124
213,1520303,124
204,1530402,124
356,1720612,133
352,1720607,131
353,1720617,342
355,1720622,135
354,1720627,136
214,1520304,124
314,1720302,138
313,1720402,137
336,1720618,342
342,1720612,133
338,1720607,131
340,1720617,342
344,1720622,135
346,1720627,136
200,1530503,124
201,1530501,124
202,1530502,124
199,1530504,124
300,1530505,124
192,1530401,124
194,1530403,124
195,1530404,124
196,1530405,124
197,1530406,124
291,1530407,124
319,1530408,124
320,1530410,124
292,1530411,124
427,1530409,124
428,1530506,124
426,1530601,124
269,1320602,102
274,1720208,125
267,1220301,102
302,1320603,124
270,1340303,124
396,1420502,102
255,1330204,102
315,1220306,124
294,1120403,124
275,1720302,138
276,1720402,137
216,1520109,124
316,1110401,124
429,1510703,124
430,1720803,102
468,1720712,134
469,1720712,134
470,1720712,134
471,1720711,134
472,1720712,134
232,1520201,124
474,1420109,102
413,1120502,102
412,1120502,102
475,1520107,124
476,1330503,102
329,1720501,123
477,1220305,102
485,1720721,202
486,1720722,202
487,1720722,202
488,1720722,202
489,1720722,202
490,1720722,202
491,1720722,202
492,1720722,202
493,1720722,202
494,1720722,202
496,1720721,202
479,1120502,102
480,1720304,138
497,1720711,222
498,1720712,222
499,1720711,222
500,1720712,222
501,1720712,222
502,1720712,222
503,1720712,222
504,1720716,282
505,1720717,282
186,1520106,124
509,1420110,102
510,1720612,133
511,1720612,133
512,1720612,133
513,1720612,133
324,1121201,102
481,1720305,138
484,1520108,124
478,1720301,138
515,1721101,102
517,1120502,102
518,1120502,102
516,1720722,202
482,1720401,137
483,1720403,137
519,1410101,102
495,1720721,202
520,4110302,137
521,4110302,124
522,1420508,102
525,1720707,322
526,1520201,124
527,1530301,124
528,1420501,102
182,1520110,102
219,1510303,124
529,1530413,124
530,1530701,124
531,1720609,131
532,1720306,138
533,1220401,102
303,1320702,124
537,1320505,128
538,1320505,127
539,1320505,126
540,1320505,125
541,1320505,162
542,1320505,142
543,1320505,125
544,1320505,129
545,1320505,262
546,1320505,102
552,1510311,124
553,1510312,124
554,1720805,102
547,1320505,131
548,1320505,342
549,1320505,133
550,1320505,135
551,1320505,136
555,1320505,123
556,1320505,138
557,1320505,137
558,1320505,202
559,1721201,123
560,1721202,123
561,1721203,123
562,1721204,123
563,1530401,124
564,1520111,124
565,1720501,123
569,1720801,102
570,1720607,131
571,1720617,342
572,1720627,136
573,1720612,133
574,1720622,135
577,1720803,102
575,1720802,102
578,1720804,102
579,1720804,102
580,1720801,102
581,1720609,131
582,1720804,102
584,1720801,102
583,1720804,102
576,1720802,102
585,1720804,102
586,1720801,102
588,1721205,123
589,1720105,102
587,1720618,342
566,1720618,342
567,1720618,342
568,1720618,342
597,1721205,302
